text	emotions
i can t help but feel outraged by a story posted at freerepublic	anger
i feel angry with th for something i think but life is so short does this really matter	anger
i rarely get a headache but when i do it always amazes me at how awful i feel i m not just bothered by the pain but my entire mood is altered	anger
this is difficult	anger
i spent the first few hours feeling exceptionally agitated and was	anger
i feel that it may be rude of me to assume that my posting and my efforts are even wanted	anger
ive been feeling very impatient of late okay im pretty impatient all the time but recently its got worse because ive been stressed so couldnt handle the thought of having to entertain myself while i waited	anger
i dont like to complain much about being stranded here because that is just how i feel for i know people often get offended by this kind of critique	anger
im always feeling fucked	anger
i feel like im far too often the grouchy middle aged dad so ridiculed and picked apart on endless sitcoms	anger
im not feeling less bitchy by tomorrow i probably wont go	anger
ive been feeling kind of grumpy lately and i realized the other night that its because i havent made anything or done anything crafty in weeks	anger
i feel like crap and am agitated to begin with to point out my every	anger
i consider them members of my family so every time i the potential tenant with money to pay for a pet deposit should some damaging unforeseen pet created property damage occur get the brush off from the voice on the other end who owns the property i feel offended	anger
i am feeling irritable and kind of crotchety and my kids are eating milo from the tin	anger
im not crying because im starting to feel them come on now is because ive been thoroughly distracted	anger
i have been feeling irritated by my lack of strength to push on	anger
i have had it broken enough that i am left feeling heartless and empty	anger
i seek out pain to feel tortured just to feel something	anger
i dont know exactly whats going on but im still in lots of pain mostly in my back and joints and my doctors surgery seem to be overwhelmed at the moment and i cant get in to see my doctor for ages so im doing a lot of sitting around feeling grumpy	anger
i feel frustrated about my life	anger
i feel like a savage	anger
i feel extremely fucked	anger
i look out the plane window my finger going to the glass feeling the cold on my fingertips as i look out at the land moving quickly below me	anger
i are looking for that cooler corner of the house darryl on the other hand i feel and think he is mad loves to sit out in the heat	anger
i feel offended you will be block love me if you want if no get lost profile a href http s	anger
ive been feeling more and more dissatisfied with their events and faced with having to pay again to attend one gives me more reason to check out a different service	anger
i would never admit it but thats how i feel i feel so hated	anger
i just didnt feel like taking her bitchy attitude	anger
i started to not talk to him that much because i feel betrayed i am disgusted by his actions	anger
i remember at the time i was feeling frustrated by some of the books i was reading	anger
i know have a lifetime of feeling mildly irritated every time someone calls the monster frankenstein	anger
i feel a lil rebellious now	anger
i know that he is trying to improve his communication with fans but i have a feeling that he gets easily distracted from that when he is not working	anger
i am such a mouse usually i dont say when things upset me or people hurt me and i try to retain the moral high ground where i can but sometimes just sometimes i would like to be able to defend myself or answer back without feeling rude or aggressive	anger
i could feel there was something going on in your mind something that bothered you	anger
i feel is get in and take profits sooner rather than later no point being greedy	anger
i can feel them being annoyed with me	anger
i was misquoted in an interview and it made me feel really angry and frustrated and emotions that ive never felt before when reading anything about myself	anger
i have to give him some room to move or else he will always feel the need to escape and that will become a dangerous game	anger
ive managed to feel greedy so i guess it hasnt been too hard on me anyways planning is moving right along and everything is coming together perfectly	anger
i feel this way in fact i rarely ever become so angered but i still loath the fact that i ever have or do	anger
i am feeling envious and upset	anger
i feel i can make work about is being fucking pissed off	anger
i feel like i was probably just being stubborn and it s early in the race and you re patient and you waited awhile i probably wouldn t be happy about it	anger
i feel totally distracted because i am supposed to do research on my robot components but apparently after looking at this it just shook my tired soul to play game till late tonight	anger
i am feeling extremely resentful of how little support or preparation we were given for the actual problems we would be facing on a daily basis	anger
i feel less stressed because i have some results now and i now know how to do everything which is very good	anger
i know is that i feel our petty problems are dealt with in all marriages	anger
i taught that to help me when i m feeling agitated but it turns out it works well for maximizing body heat too	anger
i know i m not the only writer who reports feeling a tad grouchy if i don t get my regular writing time	anger
im feeling so irritated with other people	anger
i love nothing more than the feel of cold sheets on me	anger
i feel pretty pissed about the whole thing some days are worse than others	anger
i was enlightened while at homesense feeling grouchy as i walked around	anger
i feel like its a vicious circle	anger
i was feeling pretty cranky from having lack of sleep on the plane so i didnt eat much	anger
i look at him half ashamed and feeling yet half offended	anger
i feel like such a selfish person especially when im around my family but deep inside im always asking myself how i can help others	anger
im feeling very sarcastic nihilistic and cynical all of a sudden	anger
i feel myself becoming more and more like the wallstreet commutees ive always hated on the lirr but i feel myself drowning in my own ambition driving me to push for more	anger
the murder of two girls on a school trip to berlin and sexual crimes generally a couple of years ago	anger
i am hungry i feel disgusted with myself	anger
i feel obnoxious word the i learned today while people say th	anger
i was dreading it and feeling irritable	anger
i feel bitchy because i am hurting too	anger
i feel disgusted knowing that the majority of the girls on my floor dont wash their hands after they use the toilet wtf	anger
i know there probably wouldnt have been a lot of space for all of us to have been in the main hall but it did feel as though and not to be rude or sounding like a stuck up horse but the more popular artists were grouped away from the others to get more of a spotlight	anger
i hate to admit it but im feeling greedy for once i want to try to get melisa but tuesday	anger
im sorry if the plot description feels a bit rushed and all over the place but that was just the way everything was presented in this film	anger
i check the lotto numbers to see i havent won and i laugh and crumple up the ticket and other times i actually feel kind of pissed	anger
i was probably feeling hated by the world and deciding to hate the world back	anger
i feel less rushed i take the time to eat a healthy breakfast instead of say two chocolate chip cookies and a coke zero	anger
i feel so annoyed sometimes	anger
i feel irritated by just about everything right now	anger
i don t really have a particularly alarming psychological response to pancakes or fruit based ice cream and i know this is the concern and the reasoning behind not paleo ifying junk food but i m still feeling annoyed about those limits	anger
i stop being so reactive every little time i feel wronged or sense wrong in the universe	anger
i feel so pissed i could piss on your pants	anger
i feel like i fucked it up	anger
i was expecting to say this is a very bittersweet feeling but all im feeling is bitter	anger
i am just feeling impatient with myself and not happy with the pace i ve chosen and the path i ve chosen for my next steps out and i just want to be done with all this prooooooooceeeeeeesss i m going through	anger
i took a deep breath and went to the kitchen to make you some coffee and me some earl grey tea feeling a bit too agitated for any caffeine	anger
im feeling a bit cranky lately so i thought maybe if i vented about some of the things that irk me id feel better	anger
ive a situation of responsibility an employee who had a habit of being late	anger
ive been steeling myself all day and every time im about to he does something that makes me feel as though im about to lose something as though it would be incredibly bitchy to do what ive needed to do for the past four months	anger
i feel eyes are the main thing anyway so im not too bothered	anger
i feel im a fairly dangerous person admission that the gbpd are out of control psychopaths	anger
ive since managed to make him understand the error in his thinking not having children by itself isnt a selfish act but i remember feeling annoyed at the time	anger
i feel like poirot is less rude to him than usual although poirot is till very stuck up and self satisfied	anger
i know i need to stay out of my head and focused in the moment but i have such a short attention span because i feel rushed	anger
i feel jealous way i feel books cornelia maude spelman	anger
i do not know i do not know is that she has been stubborn and each other s wives in a fit of anger feeling that they have been wronged woman abuse after all not what she and the other substantive exchanges is bent on preparing for our marriage	anger
