text	emotions
i feel something cold and i reach out grabbing at the darkness searching for the familiar presence	anger
i feel a little envious for them because they are happy	anger
i think i am feeling rebellious right now	anger
i sometimes do feel ferocious over small things at home sometimes i feel like leaving this family too	anger
i see you cutting up my tablecloth with my sewing scissors i feel outraged because i have a need for my tablecloth to be in one piece and not ribbons you wretched little oops	anger
i feel dissatisfied with the medical profession	anger
i feel like i have been a little distracted lately	anger
i feel like its a day that shouldnt be mentioned or bothered to celebrate especially celebrate	anger
i do feel so mad i can rip my hair out and sometimes hold a knife in my hand and thinking about stabbing myself	anger
i feel angry when i hear that tone of voice	anger
i used to be feeling pretty dangerous after i returned to my workplace and then remembered i needed to go to the bank	anger
i went into her room feeling a little irritated by her husband s imperiousness	anger
i somehow feel wronged	anger
i can feel the cold of winter	anger
i am feeling frustrated with my journey i feel like i should have lost a little weight	anger
i would feel resentful	anger
i am eating chocolate chip cookies which i made because i was feeling cranky and to share with my little primary sunday school class at church tomorrow	anger
i feel this unrest that nest all hollowness for i have nowhere to go and im cold	anger
i just roll my eyes at them and look away i feel rude	anger
i structure my writing before i actually write it and unfortunately i was feeling rather sarcastic that morning	anger
i start to feel annoyed and a little angry and as mama leaves i am suddenly filled with fear that maybe mama thought that i wanted his number for myself	anger
i often feel like im getting fucked in the ass by corporate so it fits	anger
i feel soooo fucked up i guess is the right term	anger
i just feel it is dangerous to write off infinite possibility and divine probability because the future of this planet depends on how far we can stretch our imaginations and how actively we live and share according to what we see	anger
ive been feeling way more stressed lately and am easily distracted	anger
i feel that calling vegetables veggies assumes that were all stubborn children who must be coaxed into eating them and i think thats a bad assumption to start from	anger
i feel agitated and jumpy and like i just ate a bottle of caffeine pills	anger
i feel that petty much everything went pretty well	anger
i felt a bit weakened due to the poison that sucks my woman figures and turn me into an ugly wild beast having that much esoteric sentiments in my life i look at her face then feel jealous at her beautiful face	anger
i guess he must be feeling a little grumpy today	anger
i feel there is some sort of witchhunt going on at the moment showing furious brits on the tv and expressing their opinions on the radio about poles i really feel that i am unwelcomed here and frankly want to leave england for good	anger
i want to be honest and blunt and tell it like it is and not worry that i might hurt someones feelings or make them make mad me	anger
i feel utterly betrayed by friends whove personally insulted me by doubting my devotion	anger
i feel jipped and outraged	anger
i feel agitated and hyper and my mind fills with the words i wish i d thought of saying	anger
i hear friends talk about racing and see posts about upcoming races i feel the bitter sweetness of this end and beginning coming over me	anger
i keep waking up at five in the morning without any alarms and without any reason other than feeling a little cold	anger
i hope this has not hurt any feelings or offended anyone but i feel it was the right move to make at the time	anger
i knew i was fucked every man who lets a good thing go has that feeling that i am truly fucked feeling	anger
i feel like my parents wouldnt do anything they would just be angry at them selfs they should i meen they have never noticed a goddam fucking thing about me	anger
i like driving in my car to this song it makes me feel like im caught up in a violent and close car chase	anger
i was feeling for tora was dangerous and if anyone found out the whole band could be jeopardized	anger
i just feel as if i was wronged in some way	anger
i feel wronged again i feel that if i have been protective of others and also trying to be more understanding and less picky on mistakes others should also treat me the same way	anger
i feel agitated though	anger
i feel snobbish saying that	anger
i feel so envious and proud of you at the same time if it is at all possible to feel that way	anger
i feel like im being selfish	anger
i feel selfish for always being concerned with my disease and for needing help with it when the rest of my life is so perfect	anger
i feel so enraged at the hand ive been dealt	anger
im feeling pretty rebellious right now because im writing this is my engineering class	anger
i left gym early yesterday because i was feeling people irritable	anger
i feel disgusted with myself but im pretty sure that they just feel disgusted with the people who did it to me	anger
im feeling less hostile today in part because of my new tattoo	anger
i feel like iim being rushed and not learning as well	anger
i admit last night i was feeling kind of cranky and overwhelmed about everything and was only seeing the negatives i have no friends no sense of community nothing to do all the day long kyalos not sleeping well again or has he ever	anger
i the only one to feel a little bit dissatisfied with tonights episode	anger
im not feeling quite so irritable and unhappy now	anger
i feel outrage that my intelligence is being insulted	anger
i don t feel the need for petty retaliation karma s a bitch and that in itself is plenty	anger
i was feeling frustrated on friday afternoon but by the time my daughter and i were back at the house i was feeling great	anger
i feel like my time is now and i m impatient for it to arrive	anger
i guess the main reason for my inactivity is that im just tired of working and im feeling very impatient so i dont really want to interact with other people and make them nervous	anger
i feel so hateful right now	anger
i feel much less stressed	anger
i guess i feel heartless right now	anger
i feel distracted a lot	anger
i feel wronged or slighted and i never feel bad about it because it does seem justified	anger
i feel betrayed and furious at the same time	anger
i feel like edward would be ttly outraged	anger
i was hoping to meet the subject of such a genuinely old magical practice but he or she didnt make an appearance amp anyway i feel probably would be a terminally pissed off dead cat	anger
i ve been feeling very bitchy lately	anger
i have a feeling i am going to be cranky today	anger
i feel like such a hateful person	anger
im feeling like some fucked up trash right now	anger
i do and it feels irritated sore kind of like indigestion with a sore throat giving you a sick feeling all over	anger
i did not feel hostile until i felt impact of the car and wall becoming one	anger
i want her to feel the pain and betrayal that i felt but i dont want to be the spiteful and vindictive person that i used to be	anger
im feeling more resentful than ever about having to take medicine and so fed up with trying to find the winning combo that will give me my life back	anger
i am surprised i don t feel jealous	anger
i understand that some of the things i have said reflect to the person i may be but we all say and do crazy things when we are feeling hostile	anger
i gave more detail in the original but it would feel insincere to try and remember it exactly	anger
im feeling a lot of stress from my family who is pissed at me the fact i have only one more time i can take the test if i fail again and my lemon of a car	anger
i am complaining or maybe pouring out my sorrows to anyone i am worried they might feel annoyed and irritated	anger
id silently complain about it get up in a haste and shut the sliding glass door return to bed feeling irritated	anger
i could feel the vile moth burrowing its way into my brain seeking my brain as a means to control and enslave me just as those nasty bug things did to chekov in star trek the wrath of khan	anger
i feel i might have slightly insulted one of the council leaders who when i urged the group to not ignore the arts as a way of engaging people and bringing happiness to a community suggested that she hoped i was pleased with the money theyd invested into the lyric theatre	anger
i constantly feel the need to forgive people who have wronged me	anger
i do feel somewhat less bitchy today although it doesn t seem to far away	anger
i feel disgusted when i hear the political temper tantrums and rude jabs masquerading as political debates or discussions	anger
i feel utterly resentful spitting mad angry	anger
one day i lent my tennis i just had washed to my sister because she asked it i asked her not to soil it as i had just washed it next day i looked at the tennis	anger
i am feeling at peace with my body and angry at how destructive the current beauty ideal forced on us is	anger
i came home feeling irritable after an altogether unsatisfactory group session	anger
i dunno i feel violent towards him	anger
i do not choose to promote then please do feel offended as i mentioned i can only promote things that i feel comfortable with that do not cause me personal conflict regarding my own beliefs and standings	anger
i hope i can feel and live that when i am impatient and cross with someone i know and love and cherish just as much as i can feel and live that when i encounter a stranger in an unlikely place or cross paths with a friend i only see every few months or years	anger
i wonder if i am breaching my so called contract by mentioning how i disagree with the sun room s management or how the sfnym teachers feel like a bunch of grumpy old men and all i m starting to do is get in fights again	anger
i feel disgusted if i see my own face	anger
i feel the need everything to do myself am i being too stubborn	anger
i can look at myself and find out what people are doing to make me feel this way make me mad make me annoyed make me think that everybody else is stupid	anger
i have a hard time telling anyone how i feel people mistake this for me just being a heartless bitch	anger
i know some fairly hateful religious people and i use that term loosely here because i feel that religion should make a person less hateful and some really wonderful ones	anger
i bet you re feeling envious lady of leisure indeed	anger
i feel like i am about to decimate anyone who so much as looks at me but i cant smoke to make myself less irritable and besides im not sure it would help	anger
i went shopping by myself and i bought nothing so i was feeling quite grumpy	anger
i want to be allowed to feel outraged and annoyed and angry and cynical as much as i want to feel happiness and joy and love and bliss	anger
i could feel how much my body hated me at mile	anger
i don t see it as sour grapes from keane rather i see it as a man lashing out because he feels wronged	anger
i feel jealous of birds cause they can fly	anger
i know i shouldnt feel spiteful abt this and be immature abt things like that	anger
i feel really vile and guilty because i know nothing about the line and feel that my integrity as a salesperson was usurped	anger
i couldnt help but feel annoyed about allergies	anger
i have found myself feeling envious of my cousin who just got married	anger
im feeling bitter towards them god	anger
i am a recent new christian and i struggle with being materialistic and i covet after these luxury items that most people do have these days amp whenever i go to other peoples homes and see they ve all got stereos and a cd collection i cant help feel envious	anger
i did not feel that stressed as i moved through many truly stressful events	anger
i am very sorry you still feel as though you are the wronged party in this whole debacle	anger
i feel like i was petty for breaking up with him in college	anger
i feel fucked when their phones are off when i call	anger
i feel anger resentment and am too distracted to learn from them	anger
ive taken to just trying to keep the peace and the other kids are feeling resentful of eli because of mostly troy because he seems to annoy eli the most just by walking into the room	anger
ive been feeling more irate and its been difficult not to be short with people	anger
i feel like a savage d mmm talked a bit and just sorta somewhat tanned and laid on the sand	anger
i make sense doesnt make sense to others it feels very dangerous when i dont have an index to compare myself to	anger
i feel really aggravated because when youre trying to share something with somebody that somebody uses that as an example to criticize you	anger
i feel like ive been getting more angered easier than i usually do	anger
i was feeling cranky i wanted nothing more than to feel something else	anger
i started feeling really gt gt gt gt gt gt gt gt annoyed driving home that my throat was hurting	anger
i can almost feel your presence beside me at times but for the most part all i can think about is the thousands of miles and heartless words between us	anger
im feeling it would be obnoxious	anger
im feeling a bit resentful of being drafted without my permission	anger
i feel petty antagonizing about this glitch that i have although i seriously doubt myself	anger
i would never wish harm to come to anyone that i like if i don t like then they re in trouble just kidding i don t really want anyone to get lost or do i mu hahahahahahahahahahahahahahaha i guess you ll never know how i feel about anything i am just too sarcastic	anger
i feel such a vile disgusting sinful cruel wrong evil and dark thing	anger
i get older i feel that im getting more and more grumpy about everyday things and nothing makes me grumpier than people	anger
i feel rude going through someone else s cupboards in search of something i will eat	anger
i am feeling extremely bothered	anger
i feel resentful of him	anger
ive been feeling cranky lately because someone is writing a thin privilege list and no one seems to remember that i did that years ago	anger
i can barely even write those lyrics without somehow feeling profoundly irritated and dare i say it nauseated for what it is now attached to	anger
i feel guilt for making him mad or for being mad at him	anger
i feel like nothing works out and i m getting mad i feel like nothing works out and i m getting mad posted in a href http greatmusicall	anger
i just feel that she gets overly stressed thinking about things and things to come to want to deal with it	anger
i was soaked in sweat my hands were numb from the vibrations and i was just generally feeling irritable	anger
im just feeling bitter because may hasnt started out so hot for the sox	anger
ive been feeling so fucked up recently	anger
i just want them to hug and drink beer together and for neither of them to feel tortured at the same time	anger
i feel i have been wronged and the other person wont take responsibility for it	anger
i don t mean to be unfeeling or rude or whatever and i know that the character is meant to be a loving nice wonderful person despite his challenges	anger
i havent been feeling stressed about the interviews	anger
i feel annoyed about it after a while where a while to me means after a few years perhaps	anger
