text	emotions
i feel like so hated like i just feel like a burden to patrick	anger
ill admit i started to feel a bit envious when andreas flashed up a slide in which his students were debating the merits of various political philosophies	anger
i said that i feel dogs should be aloud to savage children	anger
i feel like i should go and part of me wants to but the other part doesnt want to just because im slightly irritable this week and i dont want to deal with my annoying cousins	anger
id never thought that shell feel offended of everything id done for her	anger
in certain occasion i have a fight with my boyfriend during the fight i closed the door at his face he went away but came back next day	anger
i feel like an angry gorilla all the time and always ready to chew someone s face off	anger
i know i shouldnt have and ive been feeling like ive been bitchy around dean also because he was with me	anger
i might just be a cranky bitch but im feeling very dissatisfied right now with work where i live how i live and my lack of someone interesting to bonk	anger
i feel resentful that i haven t had a chance to finish my project	anger
i feel agitated and restless unfocused and withdrawn	anger
id never feel offended or insulted or even angry at another	anger
i was going to try to work on my coin project but i am feeling very distracted and unable to focus	anger
i just want to slam my head against the desk until i cant feel the headache that being outraged gives me	anger
i feel grouchy and annoyed today i dont know why	anger
i really believe that my heart to heart conversation with jenn jen last night has made me much more aware of my daughters pain and discomfort and tonight i am feeling tortured and tormented	anger
i said to you everything was right even thou sometimes i feel that i was that selfish	anger
when i failed my first biochemistry test	anger
i started to feel a lil bit pissed off when i shared out advertorial by creating blog post or sharing in my social networking but there are some other people out there sharing out their adverts by asking people to click on those links	anger
i am not mad at anyone or anything in particular i just feel hostile frequently	anger
i swear to the heavens that im trying very very hard not to feel bitter about it	anger
i didnt feel offended at the recent racist a href http www	anger
i was really dragging and feeling exceedingly grumpy	anger
im sure i mostly feel offended because im forced to acknowledge my complicity in the rules of an institution that will ultimately serve to push me into some elite social status	anger
i have been interested to note how i feel somewhat agitated all of a sudden and we are only talking a matter of weeks here	anger
i think i am allowed to feel a little annoyed	anger
i feel really really tortured as if i am going to die i could just jump down now no one could stop me	anger
i were suppose to sit down on the netting while the sailors stand up and sail us on the choppy waters but i really wanted to feel dangerous and carefree so i told all of them to rest and sit down on the netting while i stood up and pretended to be a sailor hahaha	anger
i feel obnoxious but still	anger
i am feeling like i am being very obnoxious right now	anger
ive been feeling rebellious lately too	anger
i can t help but feel inwardly grouchy when he talks about her or i see photos of them together	anger
i did feel grumpy and in fact got easily angered with my boys over the littlest things	anger
i cannot remember in which mix i heard this first and not remembering it is making me feeling all irritable	anger
im nothing towards him made me feel so fucked up	anger
im feeling rather distracted though	anger
i imagine that now grains of dirt and sediment are a blinding farewell this feeling will never be hated or feared again	anger
i can t help feeling irritated by it when i ve already logged into steam and need to do the same for gfw	anger
i might have been dreaming but it woke me straight up out of bed and i could feel a cold fear in the pit of my stomach as i went out into the living room to check	anger
i feel so grouchy and irritable when im sick	anger
i want a gay friend so i can discuss men go out dancing with them and not feel like they are gonna be bitchy or try it on with me	anger
i wanna know what do u feel when someone insult ur religion and ur beliefs do u become furious	anger
i feel today distracted	anger
i feel ber disgusted when i ve them on	anger
i am both not looking forward to my day feeling pretty cranky and grateful that i was able to get up out of bed and feel healthy	anger
i just feel so left out from his world its like i cant be really bothered or rather don wanna msg him i really don wanna add up to his stress	anger
i started to feel resentful of the whole situation and that s when something clicked	anger
i have to defend myself to my mother all i could say was i didnt ask her to leave she hasnt called me and i didnt tell her i hated her or wanted her to die why is it me that has to call her i feel like i was the wronged one in this not her	anger
i am feeling jealous	anger
i can feel the vicious vibe coming up	anger
i just feel lethergic grouchy and generally uninterested in anything	anger
i am sure there will be some out there that feel that i am being petty	anger
im exhausted and feeling particularly hateful of myself	anger
i feel absolutely vile and if i feel no better tomorrow i won t go to class	anger
i feel rebellious my photographs are edgy like graffiti	anger
i started feeling irritated that he wasnt home yet	anger
i wanna do is feel love even if i know it aint real love even if i know a nigga only finna hit it and then never call back i still fuck and thats fucked up shes so trill i need somethin she go steal when the trap hot and police ride nigga guess where we go chill	anger
im starting to put down roots and all that but im still feeling a little dissatisfied and restless	anger
i am including this question because i used to feel rushed	anger
i feel the most dangerous when i am extremely angry but i don t lose my temper	anger
i actually tried a couple of times to the ones i thought i could trust but all they could manage to do was first feeling insulted is this a threat and next dignified if you really dont care just go die that s how retarded and self centered people can be so i left and didn t give a damn	anger
when peoplepress analyze a particular newsworthy item cal football team which i am a member and can only see the situation in a bad light and always put the team down	anger
i feel rather dissatisfied with the resolution of everything	anger
i have to admit that i feel the teensiest bit envious of my friends who live there	anger
i feel selfish when i write things like this	anger
im still unstable but im feeling very sarcastic and bitter	anger
i feel like a heartless b tch for hating him so much	anger
i know i need to tell him how i feel but there is that stubborn broad in my head saying	anger
i feel a little bit grumpy now because ive hit that era in my life where im in the guts of it now	anger
i am feeling pretty frustrated and negative	anger
ive been doing my job which is also pretty fun and feeling grumpy again every time i look at my last post i just havent had it in me to write anything worth saying	anger
i sense the gut feeling i might ignore it as though maybe i was reading too quickly or i was distracted or i have to fix something above or below to try to make that grouping of words fit	anger
i once heard that lao tse was feeling pretty cranky when he if he existed left home	anger
i was feeling a bit annoyed about this lapse in self control when shameless suddenly announced that he had just polished off three unscheduled candy bars	anger
