20451	@BrumSciComm in a danish.  What horror, what depths. #gbbo	fear
30451	@aradsliff don't know I'm from nj we are the worst on purpose. #laughter	joy
40451	@Ren102e906 Just do what you can, don't get discouraged, maybe some prayers for divine intervention to help you would help :)	sadness
10452	The best revenge is to move on, get over it, and continue to succeed. Never give someone the satisfaction of watching you suffer.	anger
20452	When someone tells you they're going to 'tear you apart' and all they have to say is 'why are you so tall?' #shocking	fear
30452	*ZETH voice*: Hit The Target \n (holds up upside down cheering towel)	joy
40452	@Janet_Reid Wonderful post! Novelists shouldn't be discouraged by rejection, but they usually are because their work is so personal.	sadness
10453	Get to work and there's a fire drill. #fire  #outthere #inthedark	anger
20453	Men cannot even handle the suspicion of a horn farless 😩	fear
30453	Benefit out exhilaration called online backing off: JkUVmvQXY	joy
40453	Cheap pout my brodcast	sadness
10454	@LaraTheIrish &lt; feel everything. She would remember everything. Evanora hoped this would serve to fuel the creatures anger and run rabid &gt;	anger
20454	@AOLUK @JamesHayr @TheDrum Anychance of addressing the communication I sent to you yesterday??? I still haven't had any contact #shocking	fear
30454	Optimism leads to success. - Bill Kerr @Coach__Kerr #success #optimism #goals	joy
40454	So I tried to give her time to sober up, while waiting at the our friend's house. 2 hours later, gal wake up out her nap to vomit again.	sadness
10455	@Kim_is__bored exactly what I have been saying on fb.. #bitter	anger
20455	@Morning_Joe @JoeNBC @mikebarnicle Trump says the refugee situation 'is not just about terrorism it's about quality of life.' Take note.	fear
30455	@AphoticSanguine —but be a little playful. \n\nHe hesitantly pulls away, just enough so he could get words out, lips brushing against—	joy
40455	@alisontis otherwise you're committing a crime against your soul only sober ppl know what is good or bad for themselves	sadness
10456	Get to work and there's a fire drill. #fire #burning #outthere #inthedark	anger
20456	If I was friends with me I'd hate me SO MUCH with the amount I bully them	fear
30456	“When we give cheerfully and accept gratefully, everyone is blessed.”―Maya Angelou	joy
40456	@rickygervais my first time in Slough so checked out the new station floor #sad #LifeOnTheRoad	sadness
10457	@simon_penn_r @AntisocialJW2 has turned into a rather fiery GG radical)	anger
20457	Absolutely shocking. The decline of Rooney is a little embarrassing really!	fear
30457	@LoriAlan1 Seriously. Digging those eyebrows. #animated	joy
40457	Niggas murking in each other. In murky water, I try to swim.	sadness
10458	significantly, with a #bitter smile, 'let me	anger
20458	Excited and nervous for Tuesday	fear
30458	me taking a picture by myself: *awkward smile*\nme on picture day: *awkward smile*\nconclusion: stop smiling ;'(\n #pictureday2016  #ornot	joy
40458	@talkRobyn oh dear I have to watch this the woman with the pout did well	sadness
10459	@MetPoliceFC is it true none of your players are cops? Do they drink chilled bitter? Are your players Walter Mitty types? @KeviboyAllen	anger
20459	@HillaryClinton @realDonaldTrump @BonfireLana #bully #Bullshit #fullofshit please take out the #garbage	fear
30459	#Followback Quote_Soup: Be happy not because everything is good, but because you can see the good side of everything. #optimism	joy
40459	As I lost my heart to you there in the dark.. Underneath the stars 🎧	sadness
10460	Brendan Rodgers looks fuming 😭	anger
20460	@Relaqss I know she did horrible shit, but it wouldn't make anything better in the end, but your choice	fear
30460	Watch this amazing live.ly broadcast by @rosannahill  #musically	joy
40460	It's dark	sadness
10461	@ChronAVT ummm, the blog says 'with Simon Stehr faking 7th'...I'll expect an investigation forthwith. This is an 	anger
20461	Thiza!!! What happens now when you tell him you're pregnant via home test &amp; nurse later tells you it's a false alarm &amp; BaE is too excited🙊	fear
30461	I assume that people pick up on my joviality coz I lol a lot but it's just not working. Maybe I need to get heavy handed with emoticons? Ha	joy
40461	$FOGO max pessimism here and no bottom (yet).  Has a solid PE ratio for a restaurant.  Let's catch it at 8 level or 10 level if it comes.	sadness
10462	My baskets are better when I'm in a bad mood someone irritate me before practice please	anger
20462	@realDonaldTrump She blamed Benghazi on a YouTube video. She blamed emails on #ColinPowell. Now she blames #terrorism on you. #weakHillary	fear
30462	Your lion's heart\nWill protect you under stormy skies\nAnd I will always be listening for your laughter and your tears	joy
40462	@ThatWhiteSoxFan @tbtrill not as sad as the White Sox playing record ;)	sadness
10463	Be chill af if you want to offend someone.	anger
20463	so I picked up my phone!!!' #shocking 😳	fear
30463	@LPDonovan this is why I think his pre prepped debate answers have the potential for hilarity	joy
40463	@BeeTuppy We're sorry to hear about the issues and how this is making you feel. We don't like to hear our customers being unhappy :-( We	sadness
10464	@DRUDGE_REPORT @FoxNews good thing the FBI didn't offend them!	anger
20464	@markhberman2003 @LanceZierlein @790blessing entire team from coaches on down played and coached scared from jumpstreet. 	fear
30464	Watch this amazing live.ly broadcast by @__.mila.__  #musically	joy
40464	and naoto nod she also like tha bands. but she also frown. 'Will the bands 'Papa Roach' be at concert...?'	sadness
10465	you know cyran still hasn't done makeup based on jeongguk's tiddy like i suggested and i'm #offended	anger
20465	Haven't gotten one hour of sleep... Today is going to be a fun day 😐 	fear
30465	Watch this amazing live.ly broadcast by @mrgummyking  #musically	joy
40465	@delhi_lawyer @BhagwanUvach @ShivAroor sad . This is not film story. Who knows could be ploy to escalate tension. Unverified report no hype	sadness
10466	@danrafaelespn no Tyson fury beat the man who been at top for years Danny Garcia should be above Bradley pacquaio frampton	anger
20466	Bayern Munich pitch is horrific	fear
30466	To all who follow me, whether we've ever talked or not hope you have a joyous life. Goodbye.	joy
40466	@Samkingftw nahh thats grim	sadness
10467	So I wished my sis 12 midnight but received no reply from her. My 2nd sis JUST wished her, got a reply. You know who's the fav 	anger
20467	@IPES_44 Mourinho is horrid	fear
30467	Whether you are rejoicing or fighting back tears, God wants to share the moment with you.	joy
40467	It's my last week at CN! I'm gonna be sad to leave, but this will also be my first planned break since going into animation!	sadness
10468	@m_t_f_72 I'm not surprised, I would be fuming! 😤	anger
20468	@ChowdharyMahima Appreciate ur 'half truth.' Don't let ur good judgement swayed in the realm of propaganda. State doesn't sponsor terrorism.	fear
30468	Watch this amazing live.ly broadcast by @thebrandonrobert #lively #musically	joy
40468	@AdamAaronovich Well, there's no need to sulk. You can always request a song, you know.	sadness
10469	oh these old things on my face? nah they're not tears from school related anger and frustration nope never	anger
20469	@StephenKing\n\nStephen King never once spoke out about how the Left crushes #FreeSpeech in publishing world.\n\n#Trump #horror #scifi #ccot #p2	fear
30469	Watch this amazing live.ly broadcast by @its.finfin  #musically	joy
40469	@BonesARP 'That is a disappointment.'\n\nHe fakes a pout, then starts to chuckle.	sadness
10470	British humour should offend and challenge mainstream views. Hat off to Clarkeson. The ultra left should go and kneel before Allah!!	anger
20470	@VectoneMobileUK The worst customer service and lack of professionalism from this service provider! #phoneprovider #badbusiness #terrible	fear
30470	@thetwattickla @NottRihanna lol no it's sparkling wine	joy
40470	Shoutout to the drunk man on the bus who pissed in a bottle and on the seats 	sadness
10471	I need all your attention! If I don't I'll pout..	anger
20471	#COINCIDENCE??? When you turn on the TV, etc.&amp; listen &amp; watch, the objective is to #CaptureYourMind with #fear &amp; #depression. #FindGODNow!!!	fear
30471	@DipstickDipper \n'It's alright!' She said cheerfully trying to make the moment fun	joy
40471	LORD MAKE ME AN INSTRUMENT OF YOUR PEACE — Where there's hate, let me sow love — Where there's injury, pardon — Where there's despair, hope	sadness
10472	@AudreyKare i'm like half expecting some rabid troll to come into my mentions accusing me of being a csa apologist or something lmao	anger
20472	@Mc_Cabe_Conor This is it. The complete illiteracy around the role, nature and extent of British agents is shocking.	fear
30472	@rosyIipH glee glee glee glee gLEE GLEE i LOST LOST LOST lowe much	joy
40472	@VileBairn Turning then, the older woman looked at Sybil with a most somber expression. \n\n“She ran away from me. But I cannot blame her.”	sadness
10473	Because it was a perfect illusion, but at least now I know what it was.  #ladygaga #iscalming#mysoul	anger
20473	I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued him.	fear
30473	Watch this amazing live.ly broadcast by @evanhufferd  #musically	joy
40473	An hour played and @ASFCofficial have conceded less at West ham than @ManUtd have at northampton.  Let that sink in.	sadness
10474	Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG	anger
20474	You don't know what to expect by Brendon's video lmao LA devotee video got me shook #panic	fear
30474	Watch this amazing live.ly broadcast by @ittzdevin #lively #musically	joy
40474	some people leave toilets in fucking grim states	sadness
10475	@len_snart gives a frustrated growl, before stepping closer and putting his gun through the barrier. No alarms and nothing happened. He-	anger
20475	On a side note if you are self medicating ? That's not helping that is burying the anxiety that WILL manifest in another way. Heart disease?	fear
30475	And you as well! #sparkling @cherebork @MelissaJoyRD @SarahKoszykRD @eat4performance @rustnutrition @jenhaugen	joy
40475	@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime 	sadness
10476	@AaronGoodwin seriously dude buy some bubble tape for your phones. #snap broke another phone	anger
20476	In addition to fiction, wish me luck on my research paper this semester. 15-20 pages, oh boy. 	fear
30476	A cheerful sloth annotated old books about a very good man then the gods ended evil.	joy
40476	NL's top bureaucrat is a director of a group formed to oppose NL's top megaproject. #nlpoli - never dull	sadness
10477	When you forget to mention you were bought dreamboys tickets 🙄😂 #raging	anger
20477	@JogglingDroid @BrancoCarmine @Otto_English yeah, #UK was quite the #bully	fear
30477	@chenaidavid easy, breezy, beautiful rasta mon	joy
40477	@jwonder81 @MacadamionNut well of course.Progress for the sake of progress must be discouraged. The problem is the substance of the rhetoric	sadness
10478	Now that @Jasmine_Wrn has snapchat back it's a constant battle to see who can get the ugliest snap of one another 😂🙃 #snap survival	anger
