text	emotions
i do feel i ve come to become more agitated by what s going on in today s world	fear
i feel vulnerable and afraid	fear
i think now feel we dont need to be quite so uptight about our kids playing and sometimes arguing vigorously	fear
i feel like i should be terrified but lately all i feel is excited	fear
i feel nervous if i dont have something to read within reach	fear
i dare call kindred the pang and wretchedness to which brought to life the dilates of sorrow and burden i cannot help but feel a strange tranquility rising within me	fear
i knew i was just feeling unsure amp scared and so i let it overpower me and i gave in to those feelings and gave up	fear
i support the teachers completely but it makes the end of the year feel very strange	fear
i can t because i feel shy	fear
i don t need to feel threatened in any way because i know how good i am	fear
i am feeling beyond anxious about how the next couple weeks are going to play out at the very least i can say i came out of yesterdays appointment with a plan for better more consistent and aggressive medical care for the remainder of this pregnancy and beyond	fear
i feel like a success as a parent when i watch mimi boldly go where any other child would be timid and then i remember that mimi was just born that way	fear
i am super happy but just careful to guard my feelings because i am terrified to lose the baby again	fear
i checked it out from the library i feel pressured to get it read	fear
im in a house where the doors couldnt lock and i feel threatened from something outside	fear
i feel completely helpless about what the bigger picture tends to be and its frustrating	fear
i have to admit this makes me feel paranoid every time a new year starts	fear
i feel like everyone is suspicious of me when i walk by and im wondering who is my target	fear
i am nonetheless feeling apprehensive about what is to come	fear
i am tutoring them it may make them feel intimidated and be so inclined to get all that they need from the help that i have to offer	fear
i was feeling confused about life and about god and his plan for my life and i was asking him to open my eyes to see him and the reasons he brought me here	fear
i have to admit i was feeling a bit unsure myself	fear
i was feeling anxious and nervous and bored	fear
i am feeling restless i like to wander out into the world and pretend as rilke instructs that i am the first man and whatever i see has never been seen before by me or anyone else	fear
i enter the college feeling apprehensive coz you really dont know what to expect	fear
i am both looking forward to the visit and i am also feeling apprehensive about it	fear
i feel very reluctant talking about death	fear
im feeling a little overwhelmed by how grateful i am for everything in my life	fear
i feel more distressed when i look towards people who head pakistan s state and governement	fear
i am left here in mexico for another two weeks feeling somewhat vulnerable wondering what good an exciting things will happen and what lessons i may learn	fear
watching a horror film	fear
i remember so clearly years of age coming in from school sitting down on the sofa and being hit by this overwhelming and intense feeling of fear utterly terrified i sat rooted to the spot shaking like a leaf	fear
i did not feel shy talking english despite not having a british accent	fear
i hurt and feel suspicious and definitely get angry	fear
i feel shy around all of them because i know or think they like me	fear
ive read a few blog posts and articles in response to this mostly saying women shouldnt feel pressured by the world to look a certain way	fear
i am twiddling my thumbs and feeling restless	fear
i decide to get something to eat then since i was in the neighborhood and feeling a bit restless i went to my regular bar just to talk finalize shit for my birthday next week	fear
i was also so exhausted that i was feeling a bit shaky and out of breath from it all	fear
im feeling insecure about my ability to lead my team through so much change especially when i dont have a solid working knowledge of it	fear
i feel restless that i should be doing something	fear
i am feeling incredibly overwhelmed and i cant help feeling like i have done something wrong	fear
i guess her absence from the world left me feeling unprotected	fear
im just feeling overwhelmed by the amount of cleaning that needs to be done and the number of gifts that still need to be made yet	fear
i move away from the door to give her room to come in without feeling threatened by my presence	fear
i have come to let off some steam and emptied out my thoughts feelings ideas and questions but i have felt a bit reluctant to do so because some people seem to think that i share these things it to get attention which i don t	fear
im feeling so reluctant to move on	fear
im not sure i relish the feeling of squelching mud between my toes when its contents are uncertain	fear
going home alone through the forest after a girl guide scout meeting	fear
i have the liverpud of course and ive met some wonderful people in england but it does feel weird sometimes that most of the people i interact with havent known me for longer than two or three years	fear
i feel suspicious of some male attention because i knew i wouldnt be getting it pounds ago	fear
i was feeling apprehensive about this race a title grumble grumble href http milemeter	fear
i like feeling nervous	fear
i told her i was feeling a weird pressure and when she looked she said oh no	fear
i fear for mine so ive been feeling very agitated during this few days with the things that are happening	fear
i say feeling shy	fear
im just feeling very unsure of myself in a lot of aspects right now	fear
i may choose one thing to focus on and feel reluctant to get out of it to move on to the next task in other words i am often too lazy to change my current flow to establish a new one	fear
i can do kangaroo mince just fine but the steaks sit very heavily in my belly and make me feel uncomfortable	fear
i feel scared sporting a beard and going out for work	fear
i feel that she should have been more suspicious because of the pr spin	fear
i acknowledge that some people tend to have an obvious success story in which make others feel insecure or threaten by it	fear
i did feel rather pressured to read sweet venom so i didn t enjoy it as much as i may have under my own steam	fear
i know and i feel frantic	fear
i feel as though i m too paranoid in my own mind to have someone so beneficial in my life	fear
i have a feeling most other people would have been hesitant about taking them in	fear
i have to admit though that i still do feel shy but most of the time i just let it out	fear
i could have expected in every way and i was feeling a bit overwhelmed at that point how quickly life changed in the past weeks	fear
i would feel helpless towards that i couldnt be part of their growing up anymore that i can no longer shape how they see the world and be there when they need help	fear
i feel intimidated by the enemy and reluctant to step out to do what you want me to do	fear
i frutti that s his name now children of n zogbia feeling threatened at about	fear
i feel frightened and wary and angry and sad and lost and confused and really scared	fear
i feel no need to offer it though i do feel a bit suspicious in the area of is she doing this just to try and lump all the people who have bothered to argue cogently with her in with the woman hating misogynists	fear
i began to feel a little hesitant	fear
i feel so uncertain about life right now	fear
i wasn t afraid i don t know how to feel afraid instead i was calmed and i felt safe	fear
i christian i feel really paranoid being here for some strange reason ive been struggling with my faith as we call it	fear
i want to be able to hear those cues and know when i am to spread his word without feeling apprehensive	fear
i m at colsgr with years as my age i guess and im still feeling shy or imrabaced to ask a question or ask for an explanation i dont know how or when ive become like this this all i know	fear
i witness what i feel helpless to change i take up my arms my heart and my pen and i write	fear
i still feel rather shaken by the revelation that potter is an artist	fear
i feel a little bit uncertain about my career choices i watch this video categories a href http freethoughtblogs	fear
i have been feeling really overwhelmed lately	fear
i am surprised at the reactions from the crowd after reading this i cant help but feel equally helpless about the pitiful state we are in	fear
i get all jittery and wake feeling and smiley and shy	fear
i was really feeling unsure about the whole thing	fear
i do remember walking shyly down the street feeling terrified that people were looking at me giggling at my silliness	fear
