text	emotions
i feel very dissatisfied after being on the internet i want to do something else	love
i feel like the story might be the only thing that somewhat bothered me when it came to this book	love
i feel bitchy today for no reason	love
i can t help it that i d feel bitter or bad about myself	love
i feel obnoxious when i use exclamation points	love
i think woody and daniel must have started feeling irritated about the pace and thats about when it turned into a little race at the front	love
i feel like im such a heartless person	love
i feel like gin is vile and causes misery while beer makes everyone happy	love
im feeling mad about	love
i am feeling to stubborn to buy duplicates of everything	love
i decide i like girls i will forever feel like a rebellious teenager	love
i kind of feel like i was fucked by the system you know	love
i think of a girl and when something suddenly tells me like my intuition the girl may be more attractive than you i feel furious	love
i will do it somehow i always do but im feeling slightly distracted and faintly stressed like ive forgotten something important which i probably have	love
i feel offended when indies are apologetic about what they do	love
i actually can feel that im fucked up right now	love
i was sitting on a rock step in a new skirt that was a size i am ashamed to admit that i own and need feeling grumpy and negative about life about myself about everything trying to figure out what i want and where i m going with my life	love
i was able spend as much time as i needed taking pictures without feeling rushed	love
i feel so rebellious on my parents for not letting them know what i m doing for the moment and for my friends who were away for a long time and were thrilled to meet me there	love
i got up this morning feeling really cranky and sore for two reasons	love
i was feeling that furious particularly img src http www	love
im the first one to write someone off if i feel theyve wronged me	love
i was feeling resentful because i didnt want to move from makati where i was born and raised to cainta which i had never even been to before	love
i lets me into his fucked up world and he usually does i feel fucked up too and honestly a little scared	love
i was feeling cranky about going to chemo	love
i dont want to go into detail because i feel like im making petty excuses like i should have suck it up and just invite her anyway	love
im kind of thinking it doesnt have to do with what or who im feeling jealous about but maybe more to do with me and something im going through	love
i feel dissatisfied with what i have a href http cacabocl	love
im feeling exceptionally bitchy today	love
i still feel like i just stepped in something vile with my bare feet	love
i never requested this card and i feel offended that they would send me something like this in the mail unsolicited	love
i am feeling a little less petty than usual today it only ended up on his facebook score	love
i wish i could take her to a gamr but her parents feel that it is too violent of a sport	love
i knew i was comparing those virtual experiences to us and feeling more dissatisfied with our sex	love
i dont know i feel really petty	love
im the only one in our group of girls that has had ties to the catholic church and just being there might make me feel hostile	love
im feeling very rebellious in that sense at the moment	love
im totally feeling bitchy at the moment and i really have no idea why	love
im feeling particularly irritated these things get to me	love
im eighteen whenever we feel rebellious and dont know what we are rebelling against	love
i wouldve loved to have got up and gone over to the window to see the weather doing its worst but instead i stayed lying down breathing deeply and feeling distracted and by the time that was over the worst of the storm was over too	love
i dont need to know why someone establishes the boundaries they do and i dont need to feel offended when someone behaves outside of the realm of what is familiar or right friendly or loving in my opinion	love
i explained feeling angry is a bit like a fire alarm and sometimes we get angry when its just burnt sausages and not a real fire	love
i just feel a cold reality creep in where once my heart bled for these teams	love
i feel like punching someone in the face i feel like being betrayed mad and sad that makes me cry	love
i have is with his voice though he was not the worst singer in the movie i was left feeling dissatisfied with the way he handled several of the songs	love
i feel irritated with the spray on blogger img src http askdoctor	love
im being friendly here rather than feeling rude theyre paying attention to what i say and im making people feel good should try this with girls and may be can start the day with a little flirting as well	love
i feel as if im slowly being tortured and someone is playing a cruel cruel joke on me	love
i get depressed when im with that person because she makes me so happy and i get so loud and she doesnt get loud she stays quiet and i feel obnoxious and rude	love
i couldn t help but feel pissed off at both sides of the debate and the unnecessary dichotomy itself	love
i feel too rude telling people to be quiet but i was so tiered	love
i was already beginning to feel very very agitated so i started to rant	love
insulted by the class leader	love
