text	emotions
i feel resentful about my education	anger
i am feeling extremely distracted so i thought i would throw up a post	anger
i am feeling so grumpy and miserable	anger
i started feel annoyed by your blames after waited for a days then i saw a status of yours	anger
i feel that this is a little bit petty for you to be playing this game	anger
i dont know why but everytime i talk to you i just feel despised	anger
im feeling like grumpy dwarf tonight	anger
i asked feeling a little insulted	anger
i feel agitated at times	anger
i feel terribly distracted all the time and yet i have no real thoughts of doing anything	anger
i feel distracted flitting from tweets or feeds or links or news stuff and am not completely sure what to do about it	anger
i feel like rushed the whole entire time its like they are moving the movie along too fast	anger
i feel like a fucked up individual	anger
i guess it doesnt help that i feel like its petty so it makes me want to do it even less	anger
i mean that would probably make him feel a little less grumpy and i really want some whether im getting sick or not	anger
i feel dissatisfied knowing that all my other friends are busy in polytechnics and ites learning new things while i stay home and do housework	anger
i thought about the last time i saw this person amp how i didnt feel angry when i saw them	anger
i just feel really pissed and insulted	anger
i dont know if that rules written down somewhere but i do have a gut feeling that not to would be rude	anger
im creature of feelings i evaluate life on my feelings dangerous	anger
i don t want to hate on the game too much since it hasn t been released yet but at first glance it looks like another mediocre superhero game that will leave you feeling dissatisfied	anger
i feel selfish but she would insist	anger
i feel really selfish and to be honest i think deep down i am	anger
i feel like being vicious but	anger
i feel mad that it took a three years to get to this point	anger
i finally got round to asking him if he was feeling a little distracted lately as id suspected before	anger
i feel like ive become extremely bitchy	anger
i couldn t help feeling a little bitter look at them all	anger
i said a few hurried sentences to everyone but only ended up feeling dissatisfied with all my conversations	anger
i always feel the need to greet you all i feel impolite if i dont write a greeting message at the beginning of my post	anger
i find myself feeling distracted and un inspired by whats going on at a href http myvintagewindow	anger
i feel a cold flush running through my hair a href http ejstylefashionblog	anger
i didnrrrt rather feel outraged even so do feel insulted	anger
i feel very distracted from nature	anger
i still wish i wouldnt feel bothered by the things you say dont say think dont think do dont do	anger
i tag you and youd rather not participate i wont feel offended	anger
i am really disappointed vegetable self sufficiency still feels petty good	anger
i feel when i have wronged someone and yet i need their love or approval	anger
i truly understand how it feels to be humilated and insulted and made fun of thus ive decided not to do any of that anymore	anger
i realized that if anyone ever wants to feel petty and insignificant they should ride on the bus in bucharest	anger
i am starting to feel extremely frustrated because i am starting to not like his roommate and his constant whining and blaming steven for everything his roommate is responsible for	anger
i feel so jealous and bitter and invisible next to her	anger
i feel angry i write	anger
i feel so rude when i click that reply button but	anger
i hate that i feel like this when this is such a petty issue to begin with	anger
i had hurt his feelings and i had kicked it into bitchy mode	anger
i have this really bad feeling that cold is what i will be for a few months	anger
i look at my husband and feel envious hes off work right now hes the fun parent am i really loading the dishwasher for the third time today	anger
i was feeling cranky the previous appointment she cancelled on me at the absolute very last minute this appointment she had called at the next to very last minute to see if she could reschedule	anger
i stop hatting myself and feeling so bitter	anger
i expressed this sentiment but instantly i was made to feel like a heartless bitch for saying so	anger
ive been constantly anxious losing sleep losing hair from stress and feeling angry at life	anger
i recorded the vocal i was on a comedown riding with automatic self destruction is just how it feels when your throat s fucked and you ve been battering drugs all weekend	anger
