text	emotions
i feel more anxious and edgy around transition times due to the increased volume and activity level in the house especially if we are preparing to go somewhere outside the house or if we have guests coming	fear
i feel like a little girl helpless and needing someone to come and rescue her	fear
i feel anxious to get all my work done	fear
i feel really frantic about getting everything done now my mind sounds like the a href http www	fear
i am feeling unsure and i m having trouble finding the words without sounding ungrateful	fear
i feel more stress pressured and uneasy when im with them	fear
when i was travelling home by bus and suddenly the bus hit and the bus leaned against a wall	fear
i tell my students that it is a good thing when they are starting to shift in their seats uncomfortably when they feel alarmed and nauseous at learning something new	fear
im feeling quite apprehensive	fear
i feel oh so terrified and usually make bad decisions	fear
i am protected even when i wake up feeling frightened	fear
i feel so scared and worried for ummi now	fear
i feel so so tortured by looking at the lecture notes and nothing is going in except for my holiday plans	fear
i walked about for a long time feeling very strange and mortally apprehensive of some one coming in and kidnapping me for i believed in kidnappers their exploits having frequently figured in bessie s fireside chronicles	fear
i am left feeling insecure i frantically search for security until it is reestablished	fear
i was recently talking with a friend about how i feel reluctant to press the point when i feel like someone is pushing my boundaries even if i end up feeling very uncomfortable and unhappy	fear
i feel shaky and dizzy	fear
i gazed up at the lights of the ferris wheel looming overhead feeling slightly fearful but certain that my brother wouldnt insist that i ride on it	fear
i can t help but feel frightened and anxious	fear
im running behind on my mommy duties i tend to feel more agitated and easily frustrated	fear
i write this as a simple expression of a set of feeling much like the others i write about on these pages strange but real to me	fear
im looking into this because i feel strange about never having seen one of cassavetes films before a couple weeks ago	fear
ive been stuck in a bit of rut of my own lately and feeling unsure about how to get out and where to go from here	fear
i feel deeply uncomfortable about the film as whole	fear
i always feel a little weird and unsettled about it when you rarely cook for yourself you kind of lose sight of your food preferences	fear
i actually joked with my son and daughter and laughed a little bit though this morning i was feeling really paranoid at work just anxious and nervous	fear
i feel like i am afraid of not being in control but the truth is probably more like i am afraid of everything that i am really in control of	fear
it was when i stepped on a python snake unknowingly while it was sleeping near a baobab tree	fear
i was feeling alarmed	fear
on a dark night i felt that there were several people near me and i did not know who they were	fear
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it	fear
i was feeling soooo scared	fear
i cant help to imagine how many particles are being desecrated at the bottom of that bag and it makes me feel confused and sad that the focal point of catholicism is being disregarded	fear
i knew that she hasnt a feeling afraid of losing me	fear
i feel a mix of happiness and a part of me is also afraid	fear
ive learned i will fight fiercely to avoid feeling vulnerable	fear
i naturally feel a little threatened by this	fear
i cant explain the feeling that i had as we entered the room where the ultrasound was to be performed i had never had that queazy nervous feeling before other than during scary movies and for some reason i couldnt shake the feeling	fear
i didnt really feel shy until i was around or years old	fear
i feel shaken as i stare at the words before me	fear
im sure you know how it feels to be afraid of losing out to another girl or have other gatal girls pound onto your partner and steal his attention and worst his heart lol	fear
i am feeling very apprehensive about assignment	fear
i mostly feel entirely indecisive	fear
i wish they wouldnt certain lights sounds textures temperatures smells and sights all feel like invasions into my nervous system nails against a chalkboard making me unable to focus	fear
i was left feeling somewhat agitated unsatisfied and unsettled by the non ending even though i did expect a lack of resolution	fear
i thought i knew about her and it left me feeling a little confused about who she really was	fear
im still feeling a little overwhelmed by the whole thing	fear
i feel too helpless about the situation	fear
ill feel uptight and uncomfortable there	fear
