text	emotions
i feel a little obnoxious so im just going to let it take up all the space i can i was happy to see eleventysevens name on the list	anger
i do feel insulted they are skinnier than me	anger
im feeling more than just a little irritated with political agendas interfering with health care	anger
i know is pain all i feel is rain how can i maintain with mad shit on my brain	anger
i feel cheated and jealous of people whose lives are patterned in a way that i would have liked mine to be	anger
i didnt feel mad nor did felt anything that would make her feel im rejecting her	anger
i have a feeling that it had been a long time that i havent listened to an agitated house music like this one	anger
i can believe that the now is neither good nor bad it just is and again that the future is neither good nor bad it just is i might not feel so impatient	anger
i mean omg it was such a long time ago when we could be together like this waaaaai really enjoyed it even though i feel like i was a bit bitchy cause i was tired from all the decoration works	anger
i am feeling the pinch of my dream and i am impatient to move it to the next level because what i do affects my son and his dreams	anger
i feel a bit distracted by the two stick bits in the corner behind the man	anger
i had answered my phone many times to a sobbing erica and sat down in the middle of whatever it was i was doing to make sure that she didnt feel that i was distracted as i listened to her lament over her fears and her hurts	anger
i just cant help but feel so stressed out maybe im just being stupid	anger
i could name a hundred of reasons to feel envious thinking about those silly couple dome moments	anger
i could almost feel it as the flames singed and tortured her frail delicate body leaving nothing behind but a foul smelling concoction of wood and burnt flesh	anger
i feel no need to not apologize over a petty argument	anger
i was fresh out of college in may of feeling very frustrated with the job search	anger
i should rejoice when lost sheep are found rather than feeling irritated that they were ever lost in the first place	anger
i start feeling very aggravated and put my head phones on	anger
ive dwelt on the guilty feeling especially when i think about my selfish destructive past behavior in interpersonal relationships	anger
i feel jealous on this day for all the women that declare how they couldnt live without their mothers	anger
i feel you ve already fucked with me once	anger
i wanted to go after it because i was feeling vicious and	anger
i awoke early already starting to feel agitated and tired	anger
i noticed when she said she feels jealous of my interactions with others i felt afraid that she would punish by withdrawing	anger
i look back and i feel appalled at myself and at an environment in which a couple could be so beaten down by discrimination that they wouldn t complain not even in a situation where they had the money and supposedly the power	anger
i feel selfish feeling like this but i can t help it i feel selfish feeling like this but i can t help it a href http jumbleupon	anger
i feel so irritated and defeated	anger
i spoke calmly i thought everything through and probably most importantly i didn t feel angry	anger
when on a car journey a fellow student crossed our way with his own car and we had to bump into a roadside trunk	anger
i get up early and pray even when i feel distracted and tired the less i see myself as distant from god	anger
i refuse to feel stressed out angry about this because well why the fuck would i do that	anger
i feel like a mad person when i write these posts as it seems like im talking to myself	anger
im feeling grouchy because i noticed a few days ago that an edited volume that came out within the last two years touches upon some issues that i hoped i would be the very special little snowflake first scholar to raise	anger
im bored im tired i feel so fucked up	anger
i found this out to my relief today because i wasnt feeling up to being obnoxious enough to actually ask	anger
im feeling a little cranky today about all this nonsense in case its hard to tell	anger
i stopped for a while since i feel bothered	anger
im feeling particularly bitter about my work day so much so thatd id like to throw a terrible fit	anger
i visit when im feeling stressed and or inadequate	anger
i like to play the good guy even though i understand that a whole lot of parents and peace lovers out there feel like there is no such thing in a violent video game	anger
i do feel frustrated that depression still features in my life but i m also grateful that i ve been given the opportunity to at least experience some time without it	anger
i will keep trying to comfort myself but afterwhich that i will suddenly feel that i am self deceiving and the event will indeed occur then i will comfort myself again then the vicious cycle goes on	anger
i feel so hostile when it comes to food eating working out or self image	anger
im starting to feel dissatisfied and unhappy with work again	anger
id get that sickly sexual twisting feeling the type i only get now from looking over a dangerous ledge	anger
i know is summer is starting to make me feel cranky	anger
i feel disgusted with myself if i dwell on how much i have in common with these faceless youtube pseudonyms whose cognitive dissonance appears to completely obscure their own proclivities	anger
a friend prepared a soup with chicken heads and invited me to eat it i saw the eyes staring at me and the tongues hanging out of the bills i was so disgusted that i felt nausea and had to leave the room	anger
i feel bitter and sometimes angry	anger
i feel like im just explaining why im irritable people tell me that i am wrong and im like aghghghgh stop	anger
i feel so agitated for no reason	anger
i would sometimes cant help but feel it and i hated when it whenever i felt like it	anger
i feel pissed off about this	anger
i live in dublin they dont have it in any shop only gothic and download i dont like to download and anyways its nowhere where i can find to download it i played g but i cant get fuckin notr feelin so fucked up right now	anger
i still feel like goddards two or three things i know about her ou choses que je sais delle is one of the most hateful films ever made but it does not bother me in it indulgences nearly as much as inglourious basterds	anger
i suddenly feel like a selfish ungrateful child	anger
i feel a bit cranky a little on edge	anger
when i was getting up	anger
im ever feeling stressed i whack heart on black on and it kicks me back into shape	anger
i kept on tapping my feet up and down as usual and feeling extremely irritable	anger
i feel angry with ls ways of getting at me all the time	anger
i dont know whether your criticism was just a joke or what but i feel offended by you	anger
i am not feeling impatient rather enjoying all the attention and exercise my groceries of receiving	anger
i distinctly remember feeling unreasonably angry or sad as a kid when my breakfast did not go exactly as i wanted it	anger
im happy to report im still not feeling terribly stressed	anger
i was still feeling irritable at everything	anger
i feel i started to believe all of them while i truly suffered no dangerous consequences despite using it for over a days right now	anger
i am an asian and years ago i used to feel offended when someone calls me fro china or japan	anger
i actually feel jealous of the girls and boys learning dance and music in that hallowed institution	anger
i feel angry each time i ask you once and then again	anger
someone i know and respect sexually assulted a girl	anger
i woke up on sunday feeling deeply dissatisfied and made steps to rectify the restraint immediately	anger
im feeling agitated and prickly	anger
i want too but i can t help but to feel irritated	anger
i feel like i should have been out doing more dangerous stuff and being stupider than i was	anger
i started to feel really resentful of both the time and the money hour is too much to spend just to avoid hurting someone s feelings	anger
i feel so much pain and angered right now especially that the person means so much to me	anger
ive absolutely no idea how to feel i feel hated but am i	anger
i feel as if infinity ward is too stubborn to recognize treyarch black ops improvements to the cod formula and completely omitted what they added to this newest modern warfare	anger
i do feel a bit bitchy today i dont think i was particularly rude	anger
i feel like he is starting to get annoyed with me	anger
im feeling and feeling so disgusted towards homer and this lady is very unbearable	anger
i have a feeling that the way i am feeling is overly agitated by a conversation that i had with a friend tonight	anger
when i opted for my research field	anger
when i was robbed in a bus	anger
i have people i can talk to about all of this even outside of my therapist but i always feel as though im just being petty and wasting their time	anger
i feel so betrayed when i shouldnt and so angered when i dont have the right to	anger
i suppose i should do it because i feel it would be rude not to	anger
i feel after today s post i need to apologize i knew to an extent it would cause some disagreements however i didn t expect so many people would be strongly offended by it	anger
when someone whom i trusted	anger
i remember hearing my drink crash to the floor and feeling the cold sticky liquid splash on my legs	anger
i had been feeling between us distracted me from the wonderful things that i had	anger
i am feeling a little bit violent with my bad self today	anger
i have gone from feeling bitter about a bad break up to feeling thankful for it	anger
i dont return calls or texts i feel rude	anger
i talk to her i used to feel like i had one ally someone who was kind of rebellious like me or at least understood me a little	anger
i am feeling resentful because i am thinking to myself that she should trust me	anger
i know that conveying feelings through text messages is insincere but honestly i can t bear to bring those words out of my mouth	anger
i was feeling yesterday dissatisfied empty and displeased with my choices	anger
i didnt feel angry i didnt feel bitter i felt	anger
i might feel irritable or nervous but i didn t want a cigarette	anger
i feel disgusted in any man in power who talks about electricity being a problem in his area and says even my own house has similar problems	anger
i found myself feeling jealous of how the author was able to fit in so well in norway france and germany	anger
ive been feeling a little impatient of late	anger
i feel which i hate that i am selfish sometimes but tonight i just needed to vent	anger
i helped tony delve into his issues which ranged from his overbearing mother to the detached feelings he felt from his father and helped the audience understand this tortured soul	anger
i am then frustrated with how i feel because i know that the reason i feel that way is because i am selfish and foolish	anger
im feeling rushed already	anger
i feel like we rushed into this a bit too quickly dont have much chemistry anymore and would benefit from some time apart	anger
my friend and i worked for the community centre by holding a booth one day my friend went off to another booth to play this meant that i was very busy and could not maintain order his behaviour disgusted me	anger
i managed to get all my purchases with hardly any queues and didnt feel enraged by crowds at all	anger
im and realise that all around you people are getting married you will feel so annoyed and be like why in the world people marry so young these days while you on the other hand are blessed with the news that your guy cheated on you with a dumb year old who might be suicidal immature both	anger
i am learning to step back and call it out to not be too proud to admit that yes i am feeling annoyed and yes i should tell you why	anger
i feeling bitchy as all get out	anger
i guess i just refuse to admit how i feel my stubborn ways are my downfalls	anger
ive been feeling selfish	anger
i can definitely feel my joints become more cranky and sore	anger
i feel almost petty mentioning that the documentation is poor	anger
i dont know why i feel that way im usually pretty stubborn about things like this but who knows	anger
i feel irritable pmsing and right now i just want to head back up to melbourne	anger
i feel like we re all pretty dangerous players	anger
i would like to say that if you feel that i have wronged you in some way shape or form youre more than likely correct	anger
i look back at my addi clicks a bit sadly as i feel like they wont quite match up to my expectations although ive always despised their rubbish kinky stiff cables but i will still use them until i complete my signature collection	anger
