text	emotions
i feel more anxious and edgy around transition times due to the increased volume and activity level in the house especially if we are preparing to go somewhere outside the house or if we have guests coming	joy
i feel like a little girl helpless and needing someone to come and rescue her	joy
i feel anxious to get all my work done	joy
i feel really frantic about getting everything done now my mind sounds like the a href http www	joy
i am feeling unsure and i m having trouble finding the words without sounding ungrateful	joy
i feel more stress pressured and uneasy when im with them	joy
when i was travelling home by bus and suddenly the bus hit and the bus leaned against a wall	joy
i tell my students that it is a good thing when they are starting to shift in their seats uncomfortably when they feel alarmed and nauseous at learning something new	joy
im feeling quite apprehensive	joy
i feel oh so terrified and usually make bad decisions	joy
i am protected even when i wake up feeling frightened	joy
i feel so scared and worried for ummi now	joy
i feel so so tortured by looking at the lecture notes and nothing is going in except for my holiday plans	joy
i walked about for a long time feeling very strange and mortally apprehensive of some one coming in and kidnapping me for i believed in kidnappers their exploits having frequently figured in bessie s fireside chronicles	joy
i am left feeling insecure i frantically search for security until it is reestablished	joy
i was recently talking with a friend about how i feel reluctant to press the point when i feel like someone is pushing my boundaries even if i end up feeling very uncomfortable and unhappy	joy
i feel shaky and dizzy	joy
i gazed up at the lights of the ferris wheel looming overhead feeling slightly fearful but certain that my brother wouldnt insist that i ride on it	joy
i can t help but feel frightened and anxious	joy
im running behind on my mommy duties i tend to feel more agitated and easily frustrated	joy
i write this as a simple expression of a set of feeling much like the others i write about on these pages strange but real to me	joy
im looking into this because i feel strange about never having seen one of cassavetes films before a couple weeks ago	joy
ive been stuck in a bit of rut of my own lately and feeling unsure about how to get out and where to go from here	joy
i feel deeply uncomfortable about the film as whole	joy
i always feel a little weird and unsettled about it when you rarely cook for yourself you kind of lose sight of your food preferences	joy
i actually joked with my son and daughter and laughed a little bit though this morning i was feeling really paranoid at work just anxious and nervous	joy
i feel like i am afraid of not being in control but the truth is probably more like i am afraid of everything that i am really in control of	joy
it was when i stepped on a python snake unknowingly while it was sleeping near a baobab tree	joy
i was feeling alarmed	joy
on a dark night i felt that there were several people near me and i did not know who they were	joy
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it	joy
i was feeling soooo scared	joy
i cant help to imagine how many particles are being desecrated at the bottom of that bag and it makes me feel confused and sad that the focal point of catholicism is being disregarded	joy
i knew that she hasnt a feeling afraid of losing me	joy
i feel a mix of happiness and a part of me is also afraid	joy
ive learned i will fight fiercely to avoid feeling vulnerable	joy
i naturally feel a little threatened by this	joy
i cant explain the feeling that i had as we entered the room where the ultrasound was to be performed i had never had that queazy nervous feeling before other than during scary movies and for some reason i couldnt shake the feeling	joy
i didnt really feel shy until i was around or years old	joy
i feel shaken as i stare at the words before me	joy
im sure you know how it feels to be afraid of losing out to another girl or have other gatal girls pound onto your partner and steal his attention and worst his heart lol	joy
i am feeling very apprehensive about assignment	joy
i mostly feel entirely indecisive	joy
i wish they wouldnt certain lights sounds textures temperatures smells and sights all feel like invasions into my nervous system nails against a chalkboard making me unable to focus	joy
i was left feeling somewhat agitated unsatisfied and unsettled by the non ending even though i did expect a lack of resolution	joy
i thought i knew about her and it left me feeling a little confused about who she really was	joy
im still feeling a little overwhelmed by the whole thing	joy
i feel too helpless about the situation	joy
ill feel uptight and uncomfortable there	joy
i always feel like the dogs at the shelter are so frightened	joy
i feel all suspicious like i just unwittingly agreed to be a scientologist	joy
i started to feel intimidated as she was standing very close to me and i could not make the complaint i needed to make without her being present	joy
i feel rather strongly about the issues at hand today though and frankly im scared of the other guy winning this time	joy
i feel it doesnt have quite enough dad appeal to reach my target audience of reluctant reader dads	joy
i don t have the energy to feel uncomfortable	joy
i feel like i cant afford to be afraid to show that i am sometimes weak to allow others to see me as anything less than the strong wife and mom that i feel i am	joy
i remember feeling a bit reluctant hesitant and dare i say even scared of the upcoming birthday	joy
i think im just feeling nervous about the prospect of being jobless for the first time in nearly years	joy
i could burst into song and sing a song of may time but i m sure all the frogs that have settled in the nearby wetlands nature reserve would feel threatened by a voice such as mine	joy
i feel outrage at oppressions i don t experience and feel the urge to berate people about their ignorance i am suspicious of my motives i am choosing outrage when i could choose to engage in solidarity	joy
i feel unsure of myself i always cling to the words of god	joy
im getting worked up but one cant help feeling a little paranoid when everyone around you admonishes you for packing a go bag and plotting an evacuation route	joy
im feeling a little neurotic this week	joy
i feel agitated for no reason	joy
i love soups and stews but i feel weird eating them any other time of the year	joy
i realize that this conversation can make some people feel paranoid or upset generally	joy
im still feeling very weird dont now what it is	joy
i think it goes back to being very young and i feel terrified and no one s going to catch me	joy
i feel nervous all the time and simple things that i do every day will make me get nervous and my face gets really hot for no reason at all	joy
i feel shaky and sometimes think when i stand up i am just going to fall right back down	joy
i just feel agitated for no real reason the chest pains are still coming and going	joy
im feeling less and less paranoid about whether this pregnancy will actually make it and im feeling like i can actually just enjoy it	joy
i feel nervous about this relationship one could even say	joy
i was sitting out in the garden at drabs just feeling distressed not knowing what to do or how i could carry on	joy
i get the feeling i might have confused him with another character	joy
i am feeling so overwhelmed that she would choose my blog	joy
i just feel vulnerable and tired	joy
i still feel so unsure of myself	joy
i was feeling quite nervous	joy
i am feeling apprehensive bout my exam dafuq	joy
i was feeling very apprehensive about meeting him because he refused to tell me anything more than i am doing a small business with my friend	joy
i am with me possibly screwing up the landlord thing big time due to the isolating cutting off all ties thing i m doing feeling overwhelmed with all that stuff written since pm very much real	joy
i feel a strange contentedness as i sit on my bedroom floor still dont have a chair or a functioning table havent changed a bit and am caressed by the warm light that my lamp glows	joy
i am feeling paranoid and feeling flight or fright or fight response all over me body	joy
i feel extremely nervous about the race	joy
i started to feel more nervous	joy
i already feel intimidated by crossfit	joy
i feel as though im to uptight and intimidating	joy
i was feeling very unsure about myself and my abilities	joy
i started feeling unsure of my choice and wondered if i should have done an ma in musical theatre	joy
im left feeling really confused by this one	joy
i know its what you do with it but its hard to just shake off the feeling of being afraid that everything i have read is true	joy
i am now i dont know if i should be proud actually i feel confused	joy
i would like to take this opportunity to tell you that i am feeling particularly distraught right now	joy
