text	emotions
i was feeling rather impressed with myself once the cake was complete it looked fairly spectacular	surprise
i feel a bit dazed and cant wait to buy my tickets and go back to the city	surprise
i couldnt help but feel amazed at where we were	surprise
i feel all lightheaded and dazed out	surprise
i feel strange admitting that because its not like id ever want to be in that situation in real life	surprise
i just saw this photo on instagram and i couldnt help feeling shocked and wondering about moschinos future	surprise
im feeling a little strange today i completely finished a quilt	surprise
i feel amazed at the people who can actually point out different tastes in the wine because i totally just taste simple flavours	surprise
i am feel impressed to do something different than my average post	surprise
i see some sort of really ugly snail ballerina ready to kick some ass i m feeling curious to know what others see	surprise
i feel lets your friends know how you feel in a funny way	surprise
i wanted to work here since th grade i never thought i would but i am and it feels amazing	surprise
i feel like i m not even shocked by that anymore	surprise
i feel more at ease and more at peace with myself than probably ever in my life funny how a hour run can deliver an emotional release and put things into perspective	surprise
i am not sure how i feel about this but she did give me a couple links to videos that actually impressed me quite a bit	surprise
i a feeling of curious satisfaction to be on the same mission and a planetary co leader with tor	surprise
i feel amazed awed and humbled	surprise
i remember feeling shocked and ya ok a bit superior years ago when i was at a family reunion	surprise
i feel i make some sort of sense then other times i sit back amazed wondering where all these words came from	surprise
i have been run over by a train and people have left me feeling dazed and confused	surprise
i finally did something for me and it feels amazing	surprise
i also feel shocked with the idea that prabhupad taught a erroneous doctrine for preaching	surprise
i feel her strength and see her determination and am a bit amazed	surprise
i found myself in a sleepy haze feeling a bit shocked when the realization that i was actually in thailand came over me	surprise
i got mad and i was feeling curious who he really was	surprise
i have the pleasure of working with made me feel any less because i m a writer and editor if anything i ve been pleasantly surprised by the level of respect they have for what i do	surprise
i am excited to draw paint collage and get my hands dirty but for whatever reason i am feeling a bit overwhelmed	surprise
ive been feeling funny	surprise
i can honestly say that i enjoyed it and will be reading it again in the near future when i feel like reading a funny and smexy book	surprise
i feel like i m witnessing the birth of a really amazing dm	surprise
i just have a good feeling about this one and the cover really has me curious too	surprise
i just feel so dazed and blur	surprise
ive done this it feels almost strange	surprise
i just feel kind of funny dining along even though many friends and family tell me there is nothing wrong with it	surprise
i tell them how they feel and they are usually amazed at what i know	surprise
i feel curious to see what the media reaction will be	surprise
i came away feeling amazed that we live in a society that has allowed such incredible suffering to go on on such a massive scale for so long	surprise
i am feeling overwhelmed lately	surprise
i have the feeling its got to be plenty strange and perhaps maddeningly gimmicky	surprise
i decided to give up the disgusting habit of smoking and i must say i feel amazing	surprise
ill get around to taking a picture of the whole thing right now im feeling pretty impressed that i blogged about the whole thing and its only a month after the project happened	surprise
i had got to the point where i was chatting to the girl when i started to feel strange	surprise
im not it feels a little funny	surprise
i dont even know how i feel just weird	surprise
i know it will never happen between us and now i am going to feel weird and awkward around him	surprise
i feel if i gave another it chance i would probably be pleasantly surprised	surprise
i have lost thirteen poinds and feel so amazing	surprise
i feel weird calling him a man because i was and men weren t a thing yet	surprise
i sat down and saw the coffee i had been wearing i was feeling much less impressed with myself	surprise
im sure its all part of the engineering but it does feel weird	surprise
i really feel about this i m curious selfishly there is loathe hey almost mom in law tired of being your hanger	surprise
i feel surprised cheap christian louboutin shoes http www null	surprise
is ability to keep so many people happy care for an entire community of meditators selflessly serve so many people in need by building organizations at every corner left me feeling incredibly impressed	surprise
i just really miss that feeling of being so enthralled with god that it is all you talk about	surprise
i loooove that feeling of being amazed seeing something for the first time	surprise
i feel a little strange about having such deluxe accommodation when my charge is to serve children in kibera who have no permanent structure to live in	surprise
i feel shocked when i waked up on saturday morning many of them ask me im okeh or not	surprise
i hope so that i will have chance to meet him again because i feel so curious what he will become in his future	surprise
i stood at the door to my closet for the longest time feeling a little dazed	surprise
i really like and her suggest potential hook ups how would i feel i honestly was shocked at how much sense that made and how oblivious i must of been to the impact it must of had	surprise
ill let someone know how im feeling if theyre curious	surprise
i don t feel surprised if there are some who have the exact opposite view	surprise
i stood up and a wave crashed over me i felt fine and didnt feel the water either i was stunned	surprise
i was kinda happy at that time just feel that youre funny and cute	surprise
i could feel the snow coming the air had that je ne sais quoi smell to it so i wasnt surprised when hubby told me in the morning he wouldnt cycle to work	surprise
i am the only one that feels like this and i can tell by the shocked faces the girls fear i am going to drag them away so i leave by myself after telling them that i will be fine	surprise
i also admit that it can feel a bit strange for me to be flaunting these things about myself and sharing how great i am with the world	surprise
i feel more amazed and more thankful for having e in our lives	surprise
im not feeling funny at all lately so ill let him do the jokes	surprise
i think thats why i feel shocked when i questioned you know	surprise
i developed a sense of knowing that someone is thinking about me by feeling a curious form of tingling energy around me	surprise
i absolutely love it and would feel amazing in it	surprise
i can manage a mod meltdown without feeling overwhelmed	surprise
i started reading these books after going to see his seminar when it came through the city and feeling throughly impressed	surprise
i can not describe to you all the emotions i was feeling at that moment i was shocked scared nervous happy joyous scared nervous did i say shocked or nervous yet	surprise
i hate how it makes you feel as soon as you hear shocked worried reflective	surprise
i post this im feeling kinda curious how many of you have siblings and what are they like	surprise
im feeling pretty impressed with myself and the shape im in	surprise
i feel shocked his words very pure very self	surprise
i am feeling overwhelmed and stressed	surprise
i remember feeling so surprised at how flat my belly was after having ollie and how fast i lost the weight	surprise
i want to thank the people in my sections who i became friendly acquaintances with throughout the quarter s discussions or ask if we can meet up again but usually everyone leaves in a hurry and i feel like it would be too strange anyway	surprise
i started feeling pain it kinda wasnt as funny as i thought it would be	surprise
i have only taken three rolls shots so far and really i have been feeling my way with a very strange camera a lightmeter and the long forgotten thought processes of slow photography	surprise
i feel i should feel is amazing	surprise
i said feeling slightly stunned	surprise
i think you need to feel the fishmarket rattle and froth around you to soak in akihabara s curious sterility	surprise
i really feel funny	surprise
i found myself applauding enthusiastically and feeling pleasantly surprised	surprise
i blinked a few times feeling almost dazed like i wasn t sure how long that i had been standing there or how long he had been gone	surprise
i find myself enjoying the experience of painting more and actually feeling surprised as i discover the piece while i paint it	surprise
i can feel amazing excitement	surprise
i feel overwhelmed with feelings of being powerless or inept i am tempted to run to food to numb the pain like the rat pack to a bar or a soccer mom to a shoe sale	surprise
i feel betrayed and shocked even	surprise
i would never do that it would feel really weird	surprise
i feel like each an everyone of our athletes are our kids which in hindsight is strange because some of them are older than me	surprise
i feel it is most funny dance video i ever seen in my life	surprise
