text	emotions
i was feeling rather impressed with myself once the cake was complete it looked fairly spectacular	sadness
i feel a bit dazed and cant wait to buy my tickets and go back to the city	sadness
i couldnt help but feel amazed at where we were	sadness
i feel all lightheaded and dazed out	sadness
i feel strange admitting that because its not like id ever want to be in that situation in real life	sadness
i just saw this photo on instagram and i couldnt help feeling shocked and wondering about moschinos future	sadness
im feeling a little strange today i completely finished a quilt	sadness
i feel amazed at the people who can actually point out different tastes in the wine because i totally just taste simple flavours	sadness
i am feel impressed to do something different than my average post	sadness
i see some sort of really ugly snail ballerina ready to kick some ass i m feeling curious to know what others see	sadness
i feel lets your friends know how you feel in a funny way	sadness
i wanted to work here since th grade i never thought i would but i am and it feels amazing	sadness
i feel like i m not even shocked by that anymore	sadness
i feel more at ease and more at peace with myself than probably ever in my life funny how a hour run can deliver an emotional release and put things into perspective	sadness
i am not sure how i feel about this but she did give me a couple links to videos that actually impressed me quite a bit	sadness
i a feeling of curious satisfaction to be on the same mission and a planetary co leader with tor	sadness
i feel amazed awed and humbled	sadness
i remember feeling shocked and ya ok a bit superior years ago when i was at a family reunion	sadness
i feel i make some sort of sense then other times i sit back amazed wondering where all these words came from	sadness
i have been run over by a train and people have left me feeling dazed and confused	sadness
i finally did something for me and it feels amazing	sadness
i also feel shocked with the idea that prabhupad taught a erroneous doctrine for preaching	sadness
i feel her strength and see her determination and am a bit amazed	sadness
i found myself in a sleepy haze feeling a bit shocked when the realization that i was actually in thailand came over me	sadness
i got mad and i was feeling curious who he really was	sadness
i have the pleasure of working with made me feel any less because i m a writer and editor if anything i ve been pleasantly surprised by the level of respect they have for what i do	sadness
i am excited to draw paint collage and get my hands dirty but for whatever reason i am feeling a bit overwhelmed	sadness
ive been feeling funny	sadness
i can honestly say that i enjoyed it and will be reading it again in the near future when i feel like reading a funny and smexy book	sadness
i feel like i m witnessing the birth of a really amazing dm	sadness
i just have a good feeling about this one and the cover really has me curious too	sadness
i just feel so dazed and blur	sadness
ive done this it feels almost strange	sadness
i just feel kind of funny dining along even though many friends and family tell me there is nothing wrong with it	sadness
i tell them how they feel and they are usually amazed at what i know	sadness
i feel curious to see what the media reaction will be	sadness
i came away feeling amazed that we live in a society that has allowed such incredible suffering to go on on such a massive scale for so long	sadness
i am feeling overwhelmed lately	sadness
i have the feeling its got to be plenty strange and perhaps maddeningly gimmicky	sadness
i decided to give up the disgusting habit of smoking and i must say i feel amazing	sadness
ill get around to taking a picture of the whole thing right now im feeling pretty impressed that i blogged about the whole thing and its only a month after the project happened	sadness
i had got to the point where i was chatting to the girl when i started to feel strange	sadness
im not it feels a little funny	sadness
i dont even know how i feel just weird	sadness
i know it will never happen between us and now i am going to feel weird and awkward around him	sadness
i feel if i gave another it chance i would probably be pleasantly surprised	sadness
i have lost thirteen poinds and feel so amazing	sadness
i feel weird calling him a man because i was and men weren t a thing yet	sadness
i sat down and saw the coffee i had been wearing i was feeling much less impressed with myself	sadness
im sure its all part of the engineering but it does feel weird	sadness
i really feel about this i m curious selfishly there is loathe hey almost mom in law tired of being your hanger	sadness
i feel surprised cheap christian louboutin shoes http www null	sadness
is ability to keep so many people happy care for an entire community of meditators selflessly serve so many people in need by building organizations at every corner left me feeling incredibly impressed	sadness
i just really miss that feeling of being so enthralled with god that it is all you talk about	sadness
i loooove that feeling of being amazed seeing something for the first time	sadness
i feel a little strange about having such deluxe accommodation when my charge is to serve children in kibera who have no permanent structure to live in	sadness
i feel shocked when i waked up on saturday morning many of them ask me im okeh or not	sadness
i hope so that i will have chance to meet him again because i feel so curious what he will become in his future	sadness
i stood at the door to my closet for the longest time feeling a little dazed	sadness
i really like and her suggest potential hook ups how would i feel i honestly was shocked at how much sense that made and how oblivious i must of been to the impact it must of had	sadness
ill let someone know how im feeling if theyre curious	sadness
i don t feel surprised if there are some who have the exact opposite view	sadness
i stood up and a wave crashed over me i felt fine and didnt feel the water either i was stunned	sadness
i was kinda happy at that time just feel that youre funny and cute	sadness
i could feel the snow coming the air had that je ne sais quoi smell to it so i wasnt surprised when hubby told me in the morning he wouldnt cycle to work	sadness
i am the only one that feels like this and i can tell by the shocked faces the girls fear i am going to drag them away so i leave by myself after telling them that i will be fine	sadness
i also admit that it can feel a bit strange for me to be flaunting these things about myself and sharing how great i am with the world	sadness
i feel more amazed and more thankful for having e in our lives	sadness
im not feeling funny at all lately so ill let him do the jokes	sadness
i think thats why i feel shocked when i questioned you know	sadness
i developed a sense of knowing that someone is thinking about me by feeling a curious form of tingling energy around me	sadness
i absolutely love it and would feel amazing in it	sadness
i can manage a mod meltdown without feeling overwhelmed	sadness
i started reading these books after going to see his seminar when it came through the city and feeling throughly impressed	sadness
