text	emotions
i still feel hesitant to ask personal questions too early on	fear
im feeling anxious but trying to keep a positive outlook of things	fear
i don t want them feeling helpless like they so often did when i first moved to malaysia	fear
i am feeling agitated lately	fear
i did feel a little intimidated	fear
i found myself feeling anxious and lonely and homesick for the home this place was supposed to be	fear
i sit down to write a blog post i feel overwhelmed by the thought that this might be the one that is really shit and boring	fear
i am feeling a little shaken off center and searching for peace and beauty i like to highlight the fabulous	fear
hearing a strange noise in the biology building	fear
i don t get why so many guys feel threatened by strong women	fear
im not feeling uncomfortable yet so take all the room you need	fear
i do feel vulnerable and a bit nervous about posting it	fear
i don t feel anxious to get out there and try again	fear
i feel very indecisive about my relationship with him and it s eating away at me	fear
i feel somewhat uncertain	fear
i feel so nervous anxious and i dont know why	fear
i end up feeling so doubtful	fear
i feel all restless and or apathetic if i dont get my butt in movement every once in a while	fear
i feel pressured because a close acquaintance even labelled me as anwars mistress she said	fear
i feel so much more insecure as a pregnant person or like all my existing insecurities are amped up and i really never expected that	fear
i think she just feels a bit threatened sometimes like guys who watch us and get off on it are kind of intruding	fear
i feel hesitant about going	fear
i must admit that my feelings overwhelmed me and a tear or two dropped	fear
i feel insecure even if other people were to put make up for me even if its like a super prof make up artist	fear
i was newly pregnant with my first baby i remember feeling nervous about how my body would respond and change	fear
i remember feeling vaguely fearful	fear
im left feeling unsure how to sum up this book	fear
i can identify with the jewish people and i understand why they feel so threatened by almost every country that shares a border with them and even by countries like iraq and iran that are within striking distance	fear
i still would like to get better gear for everyone but i feel less pressured to make such a huge push on all my toons since they re all caught up and ready for patch	fear
i just feel doubtful i wish i wasnt	fear
i feel so nervous thinking negative thing that might happen in the future of my high school life	fear
i still feel shaky is because in the worst hit areas the damage and destruction is so complete	fear
i always wanted to embrace recently i feel fearful knowing i cant escape this weird feeling	fear
i was feeling apprehensive because i was fairly certain that i was not going to experience the same level of job satisfaction in as i did the previous year	fear
i can t help feeling the frantic heart beat	fear
i remember feeling unsure how to begin	fear
i begin to feel afraid	fear
i was napping and could feel the strange pull as i awoke	fear
i see my relationship with the page the thing i care about most deeply being diverted not by a handful but by masses i feel pressured to engage	fear
i had a really intense workout this evening and i am totally feeling the effects my legs feel like shaky rubber every time i get off the couch to go grab something	fear
i want to feel insecure confused and angry	fear
i feel that i get easily intimidated around new people	fear
i was feeling this weird feeling of panic with regards to my employment	fear
i feel restless in my own pursuits	fear
im feeling nervous but excited	fear
i feel a little hesitant letting go and having fun because the overall situation is sad and if the relatives were to see it they might think i was making light of it	fear
i feel like god has some sort of mission for me to accomplish and yet i m afraid i screw it up	fear
i had never spent enough time with anyone man to really feel threatened and panic over spending any time with a him	fear
i get the feeling kenji is afraid	fear
i suppose thats why i keep feeling a bit restless about it all	fear
im over with the feeling of being doubtful cause im so sure with you	fear
i was starting to feel unsure of myself and my purpose here	fear
i do not feel intimidated by men	fear
i stepped up to the lectern feeling nervous as hell	fear
im not online for longer period of time even when im not specifically writing is because it feels weird to be sitting at your home office read kitchen table on gchat or facebook or twitter	fear
